rounddate,sf1696,sf172e,sf1663,sf1743,sf1738,sf1710,sf1739,sf1659,sf166c,sf164E,sf1762,Tair,RH,VPD,SM,Wspeed,Wdir,TotRain,solarkW,meanWP,wpsd
2024-01-24T09:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.26,30.15,2.851143211,-1282.5,2.108,68.87,0,0.9,NA,NA
2024-01-24T09:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.79,28,3.030271469,-1226.5,2.284,332,0,0.954,NA,NA
2024-01-24T10:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.88,27.26,3.259153727,-1151.5,2.523,100.5,0,0.993,NA,NA
2024-01-24T10:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.55,24.86,3.497867437,-1094.333333,1.908,94,0,1.017,NA,NA
2024-01-24T11:00:00Z,0.542372881,NA,NA,NA,NA,NA,NA,NA,0.163540164,NA,NA,32.48,20.42,3.905205548,-1018.5,1.803,16.46,0,1.034,NA,NA
2024-01-24T11:30:00Z,0.542372881,NA,0.272727273,NA,NA,NA,0.875,NA,0.081770082,NA,NA,33.6,26.17,3.858822044,-955.1666667,2.222,195.8,0,1.018,NA,NA
2024-01-24T12:00:00Z,0.338983051,NA,-0.090909091,NA,NA,NA,-0.784482759,-0.35860231,0.490620491,NA,NA,31.66,29.47,3.303875814,-885.3833333,3.466,225.5,0,1.003,NA,NA
2024-01-24T12:30:00Z,0.271186441,-0.727272727,0.409090909,NA,NA,NA,-0.24137931,-0.204915606,0.163540164,NA,NA,31.07,28.98,3.216830353,-822.3,3.57,175.1,0,0.979,NA,NA
2024-01-24T13:00:00Z,0.203389831,-0.606060606,0.636363636,NA,NA,NA,0.422413793,0.204915606,0.981240981,NA,NA,31.13,30.23,3.171057297,-775.4833333,3.553,216.8,0,0.927,NA,NA
2024-01-24T13:30:00Z,0.271186441,-0.848484848,0.5,NA,NA,NA,0.060344828,-0.025614451,0.327080327,NA,NA,30.91,31.48,3.075345854,-736.1,3.812,218.8,0,0.86,NA,NA
2024-01-24T14:00:00Z,0.406779661,NA,0.818181818,NA,NA,NA,0.150862069,-0.102457803,0.735930736,NA,NA,30.71,32.58,2.991542517,-703.7166667,3.622,231.5,0,0.783,NA,NA
2024-01-24T14:30:00Z,0.338983051,-0.787878788,0.727272727,NA,NA,NA,0,-0.076843352,0.899470899,NA,NA,30.38,33.21,2.908044603,-685.7333333,3.629,220.3,0,0.695,NA,NA
2024-01-24T15:00:00Z,0.271186441,-0.848484848,0.636363636,NA,NA,NA,0.24137931,0,0.735930736,NA,NA,29.78,33.88,2.781195329,-674.1333333,3.569,226.1,0,0.603,NA,NA
2024-01-24T15:30:00Z,0.13559322,-0.848484848,0.181818182,NA,NA,NA,0.120689655,-0.204915606,0.408850409,NA,NA,29.01,37.61,2.510022367,-667.3166667,3.702,192.7,0,0.486,NA,NA
2024-01-24T16:00:00Z,-0.13559322,-0.96969697,0.227272727,NA,NA,NA,-0.060344828,-0.256144507,0.531505532,NA,NA,27.89,40.33,2.249032769,-670.0166667,3.672,211.8,0,0.336,NA,NA
2024-01-24T16:30:00Z,-0.406779661,-0.727272727,0.090909091,NA,NA,NA,-0.331896552,-0.461060113,0.490620491,NA,NA,26.61,44.54,1.938921832,-680.6666667,3.663,213.6,0,0.181,NA,NA
